X;workerid;proliferate.condition;samediff_mirrornorm;samediff;categories;failed_audio;failed_images;failed_video;internal_node_id;response;rt;sequence_id;same_mirror_normal;stimulus;success;time_elapsed;timeout;trial_index;trial_type;view_history;error;language
1;18;condition1;_;;;[];[];[];0.0-0.0;;NA;0;;;TRUE;1298;FALSE;0;preload;;NA;japanese
2;18;condition1;_;;;;;;0.0-1.0;;35605;1;;;NA;36904;NA;1;instructions;[{'page_index': 0;NA;japanese
3;18;condition1;_;;;;;;0.0-2.0-0.0;;NA;0;;img2/tools/2.jpg;NA;37115;NA;2;image-keyboard-response;;NA;japanese
4;18;condition1;_;;;;;;0.0-2.0-1.0;;NA;1;;+;NA;37418;NA;3;html-keyboard-response;;NA;japanese
5;18;condition1;_;;;;;;0.0-2.0-2.0;;NA;2;;img2/Mtools/2.jpg;NA;37634;NA;4;image-keyboard-response;;NA;japanese
6;18;condition1;_M;;;;;;0.0-2.0-3.0;s;2148;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;japanese
7;18;condition1;_;;;;;;0.0-3.0;;4214;3;;;NA;43997;NA;6;instructions;[{'page_index': 0;NA;japanese
8;18;condition1;_;;;;;;0.0-4.0-0.0;;NA;0;;img2/jap/2.jpg;NA;44217;NA;7;image-keyboard-response;;NA;japanese
9;18;condition1;_;;;;;;0.0-4.0-1.0;;NA;1;;+;NA;44526;NA;8;html-keyboard-response;;NA;japanese
10;18;condition1;_;;;;;;0.0-4.0-2.0;;NA;2;;img2/jap/3.jpg;NA;44741;NA;9;image-keyboard-response;;NA;japanese
11;18;condition1;_T;;;;;;0.0-4.0-3.0;d;2511;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;japanese
12;18;condition1;_;;;;;;0.0-5.0;;2039;5;;;NA;49293;NA;11;instructions;[{'page_index': 0;NA;japanese
13;18;condition1;_;;;;;;0.0-6.0-0.0;;NA;0;;img2/Mfalse/12.jpg;NA;49500;NA;12;image-keyboard-response;;NA;japanese
14;18;condition1;_;;;;;;0.0-6.0-1.0;;NA;1;;+;NA;49810;NA;13;html-keyboard-response;;NA;japanese
15;18;condition1;_;;;;;;0.0-6.0-2.0;;NA;2;;img2/Mfalse/8.jpg;NA;50025;NA;14;image-keyboard-response;;NA;japanese
16;18;condition1;D_M;D;M;;;;0.0-6.0-3.0;d;581;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;japanese
17;18;condition1;_;;;;;;0.0-6.0-0.1;;NA;0;;img2/jap/6.jpg;NA;50822;NA;16;image-keyboard-response;;NA;japanese
18;18;condition1;_;;;;;;0.0-6.0-1.1;;NA;1;;+;NA;51130;NA;17;html-keyboard-response;;NA;japanese
19;18;condition1;_;;;;;;0.0-6.0-2.1;;NA;2;;img2/jap/6.jpg;NA;51344;NA;18;image-keyboard-response;;NA;japanese
20;18;condition1;S_T;S;J;;;;0.0-6.0-3.1;d;901;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;japanese
21;18;condition1;_;;;;;;0.0-6.0-0.2;;NA;0;;img2/Mfalse/7.jpg;NA;52465;NA;20;image-keyboard-response;;NA;japanese
22;18;condition1;_;;;;;;0.0-6.0-1.2;;NA;1;;+;NA;52772;NA;21;html-keyboard-response;;NA;japanese
23;18;condition1;_;;;;;;0.0-6.0-2.2;;NA;2;;img2/Mfalse/13.jpg;NA;52987;NA;22;image-keyboard-response;;NA;japanese
24;18;condition1;D_M;D;M;;;;0.0-6.0-3.2;d;578;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;japanese
25;18;condition1;_;;;;;;0.0-6.0-0.3;;NA;0;;img2/tools/13.jpg;NA;53775;NA;24;image-keyboard-response;;NA;japanese
26;18;condition1;_;;;;;;0.0-6.0-1.3;;NA;1;;+;NA;54084;NA;25;html-keyboard-response;;NA;japanese
27;18;condition1;_;;;;;;0.0-6.0-2.3;;NA;2;;img2/Mtools/13.jpg;NA;54300;NA;26;image-keyboard-response;;NA;japanese
28;18;condition1;S_M;S;O;;;;0.0-6.0-3.3;d;554;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;japanese
29;18;condition1;_;;;;;;0.0-6.0-0.4;;NA;0;;img2/faces/13.jpg;NA;55064;NA;28;image-keyboard-response;;NA;japanese
30;18;condition1;_;;;;;;0.0-6.0-1.4;;NA;1;;+;NA;55386;NA;29;html-keyboard-response;;NA;japanese
31;18;condition1;_;;;;;;0.0-6.0-2.4;;NA;2;;img2/faces/11.jpg;NA;55602;NA;30;image-keyboard-response;;NA;japanese
32;18;condition1;D_T;D;H;;;;0.0-6.0-3.4;d;420;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;japanese
33;18;condition1;_;;;;;;0.0-6.0-0.5;;NA;0;;img2/jap/8.jpg;NA;56235;NA;32;image-keyboard-response;;NA;japanese
34;18;condition1;_;;;;;;0.0-6.0-1.5;;NA;1;;+;NA;56544;NA;33;html-keyboard-response;;NA;japanese
35;18;condition1;_;;;;;;0.0-6.0-2.5;;NA;2;;img2/jap/9.jpg;NA;56761;NA;34;image-keyboard-response;;NA;japanese
36;18;condition1;D_T;D;J;;;;0.0-6.0-3.5;d;494;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;japanese
37;18;condition1;_;;;;;;0.0-6.0-0.6;;NA;0;;img2/french/3.jpg;NA;57467;NA;36;image-keyboard-response;;NA;japanese
38;18;condition1;_;;;;;;0.0-6.0-1.6;;NA;1;;+;NA;57775;NA;37;html-keyboard-response;;NA;japanese
39;18;condition1;_;;;;;;0.0-6.0-2.6;;NA;2;;img2/french/13.jpg;NA;57992;NA;38;image-keyboard-response;;NA;japanese
40;18;condition1;D_T;D;R;;;;0.0-6.0-3.6;d;469;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;japanese
