X;workerid;proliferate.condition;samediff_mirrornorm;samediff;categories;failed_audio;failed_images;failed_video;internal_node_id;response;rt;sequence_id;same_mirror_normal;stimulus;success;time_elapsed;timeout;trial_index;trial_type;view_history;error;language
11504;23;condition1;_;;;;;;0.0-6.0-1.40;;NA;1;;+;NA;87167;NA;173;html-keyboard-response;;NA;french
11505;23;condition1;_;;;;;;0.0-6.0-2.40;;NA;2;;img2/Mfaces/7.jpg;NA;87375;NA;174;image-keyboard-response;;NA;french
11506;23;condition1;S_M;S;H;;;;0.0-6.0-3.40;s;433;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11507;23;condition1;_;;;;;;0.0-6.0-0.41;;NA;0;;img2/jap/9.jpg;NA;88015;NA;176;image-keyboard-response;;NA;french
11508;23;condition1;_;;;;;;0.0-6.0-1.41;;NA;1;;+;NA;88319;NA;177;html-keyboard-response;;NA;french
11509;23;condition1;_;;;;;;0.0-6.0-2.41;;NA;2;;img2/jap/9.jpg;NA;88527;NA;178;image-keyboard-response;;NA;french
11510;23;condition1;S_T;S;J;;;;0.0-6.0-3.41;s;426;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11511;23;condition1;_;;;;;;0.0-6.0-0.42;;NA;0;;img2/jap/14.jpg;NA;89167;NA;180;image-keyboard-response;;NA;french
11512;23;condition1;_;;;;;;0.0-6.0-1.42;;NA;1;;+;NA;89471;NA;181;html-keyboard-response;;NA;french
11513;23;condition1;_;;;;;;0.0-6.0-2.42;;NA;2;;img2/jap/9.jpg;NA;89679;NA;182;image-keyboard-response;;NA;french
11514;23;condition1;D_T;D;J;;;;0.0-6.0-3.42;d;473;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11515;23;condition1;_;;;;;;0.0-6.0-0.43;;NA;0;;img2/Mfalse/13.jpg;NA;90358;NA;184;image-keyboard-response;;NA;french
11516;23;condition1;_;;;;;;0.0-6.0-1.43;;NA;1;;+;NA;90661;NA;185;html-keyboard-response;;NA;french
11517;23;condition1;_;;;;;;0.0-6.0-2.43;;NA;2;;img2/Mfalse/7.jpg;NA;90870;NA;186;image-keyboard-response;;NA;french
11518;23;condition1;D_M;D;M;;;;0.0-6.0-3.43;s;610;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11519;23;condition1;_;;;;;;0.0-6.0-0.44;;NA;0;;img2/Mfrench/4.jpg;NA;91685;NA;188;image-keyboard-response;;NA;french
11520;23;condition1;_;;;;;;0.0-6.0-1.44;;NA;1;;+;NA;91990;NA;189;html-keyboard-response;;NA;french
11521;23;condition1;_;;;;;;0.0-6.0-2.44;;NA;2;;img2/Mfrench/12.jpg;NA;92197;NA;190;image-keyboard-response;;NA;french
11522;23;condition1;D_M;D;R;;;;0.0-6.0-3.44;d;387;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11523;23;condition1;_;;;;;;0.0-6.0-0.45;;NA;0;;img2/Mtools/8.jpg;NA;92805;NA;192;image-keyboard-response;;NA;french
11524;23;condition1;_;;;;;;0.0-6.0-1.45;;NA;1;;+;NA;93110;NA;193;html-keyboard-response;;NA;french
11525;23;condition1;_;;;;;;0.0-6.0-2.45;;NA;2;;img2/Mtools/2.jpg;NA;93318;NA;194;image-keyboard-response;;NA;french
11526;23;condition1;D_M;D;O;;;;0.0-6.0-3.45;d;450;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11527;23;condition1;_;;;;;;0.0-6.0-0.46;;NA;0;;img2/tools/10.jpg;NA;93974;NA;196;image-keyboard-response;;NA;french
11528;23;condition1;_;;;;;;0.0-6.0-1.46;;NA;1;;+;NA;94278;NA;197;html-keyboard-response;;NA;french
11529;23;condition1;_;;;;;;0.0-6.0-2.46;;NA;2;;img2/Mtools/10.jpg;NA;94486;NA;198;image-keyboard-response;;NA;french
11530;23;condition1;S_M;S;O;;;;0.0-6.0-3.46;s;718;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11531;23;condition1;_;;;;;;0.0-6.0-0.47;;NA;0;;img2/Mfrench/7.jpg;NA;95413;NA;200;image-keyboard-response;;NA;french
11532;23;condition1;_;;;;;;0.0-6.0-1.47;;NA;1;;+;NA;95717;NA;201;html-keyboard-response;;NA;french
11533;23;condition1;_;;;;;;0.0-6.0-2.47;;NA;2;;img2/Mfrench/8.jpg;NA;95934;NA;202;image-keyboard-response;;NA;french
11534;23;condition1;D_M;D;R;;;;0.0-6.0-3.47;d;649;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11535;23;condition1;_;;;;;;0.0-6.0-0.48;;NA;0;;img2/Mfaces/4.jpg;NA;96789;NA;204;image-keyboard-response;;NA;french
11536;23;condition1;_;;;;;;0.0-6.0-1.48;;NA;1;;+;NA;97093;NA;205;html-keyboard-response;;NA;french
11537;23;condition1;_;;;;;;0.0-6.0-2.48;;NA;2;;img2/Mfaces/12.jpg;NA;97301;NA;206;image-keyboard-response;;NA;french
11538;23;condition1;D_M;D;H;;;;0.0-6.0-3.48;d;491;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11539;23;condition1;_;;;;;;0.0-6.0-0.49;;NA;0;;img2/jap/4.jpg;NA;97997;NA;208;image-keyboard-response;;NA;french
11540;23;condition1;_;;;;;;0.0-6.0-1.49;;NA;1;;+;NA;98301;NA;209;html-keyboard-response;;NA;french
11541;23;condition1;_;;;;;;0.0-6.0-2.49;;NA;2;;img2/jap/4.jpg;NA;98509;NA;210;image-keyboard-response;;NA;french
11542;23;condition1;S_T;S;J;;;;0.0-6.0-3.49;s;587;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11543;23;condition1;_;;;;;;0.0-6.0-0.50;;NA;0;;img2/faces/4.jpg;NA;99301;NA;212;image-keyboard-response;;NA;french
11544;23;condition1;_;;;;;;0.0-6.0-1.50;;NA;1;;+;NA;99605;NA;213;html-keyboard-response;;NA;french
11545;23;condition1;_;;;;;;0.0-6.0-2.50;;NA;2;;img2/Mfaces/4.jpg;NA;99814;NA;214;image-keyboard-response;;NA;french
11546;23;condition1;S_M;S;H;;;;0.0-6.0-3.50;s;481;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11547;23;condition1;_;;;;;;0.0-6.0-0.51;;NA;0;;img2/Mfrench/2.jpg;NA;100501;NA;216;image-keyboard-response;;NA;french
11548;23;condition1;_;;;;;;0.0-6.0-1.51;;NA;1;;+;NA;100806;NA;217;html-keyboard-response;;NA;french
11549;23;condition1;_;;;;;;0.0-6.0-2.51;;NA;2;;img2/Mfrench/9.jpg;NA;101014;NA;218;image-keyboard-response;;NA;french
11550;23;condition1;D_M;D;R;;;;0.0-6.0-3.51;d;385;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11551;23;condition1;_;;;;;;0.0-6.0-0.52;;NA;0;;img2/tools/2.jpg;NA;101605;NA;220;image-keyboard-response;;NA;french
11552;23;condition1;_;;;;;;0.0-6.0-1.52;;NA;1;;+;NA;101909;NA;221;html-keyboard-response;;NA;french
11553;23;condition1;_;;;;;;0.0-6.0-2.52;;NA;2;;img2/tools/9.jpg;NA;102117;NA;222;image-keyboard-response;;NA;french
11554;23;condition1;D_T;D;O;;;;0.0-6.0-3.52;d;683;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11555;23;condition1;_;;;;;;0.0-6.0-0.53;;NA;0;;img2/jap/7.jpg;NA;103006;NA;224;image-keyboard-response;;NA;french
11556;23;condition1;_;;;;;;0.0-6.0-1.53;;NA;1;;+;NA;103309;NA;225;html-keyboard-response;;NA;french
11557;23;condition1;_;;;;;;0.0-6.0-2.53;;NA;2;;img2/jap/8.jpg;NA;103518;NA;226;image-keyboard-response;;NA;french
11558;23;condition1;D_T;D;J;;;;0.0-6.0-3.53;s;379;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11559;23;condition1;_;;;;;;0.0-6.0-0.54;;NA;0;;img2/Mfaces/14.jpg;NA;104101;NA;228;image-keyboard-response;;NA;french
11560;23;condition1;_;;;;;;0.0-6.0-1.54;;NA;1;;+;NA;104406;NA;229;html-keyboard-response;;NA;french
11561;23;condition1;_;;;;;;0.0-6.0-2.54;;NA;2;;img2/Mfaces/9.jpg;NA;104614;NA;230;image-keyboard-response;;NA;french
11562;23;condition1;D_M;D;H;;;;0.0-6.0-3.54;d;940;3;M;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11563;23;condition1;_;;;;;;0.0-6.0-0.55;;NA;0;;img2/jap/4.jpg;NA;105767;NA;232;image-keyboard-response;;NA;french
11564;23;condition1;_;;;;;;0.0-6.0-1.55;;NA;1;;+;NA;106070;NA;233;html-keyboard-response;;NA;french
11565;23;condition1;_;;;;;;0.0-6.0-2.55;;NA;2;;img2/jap/12.jpg;NA;106279;NA;234;image-keyboard-response;;NA;french
11566;23;condition1;D_T;D;J;;;;0.0-6.0-3.55;d;381;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11567;23;condition1;_;;;;;;0.0-6.0-0.56;;NA;0;;img2/tools/8.jpg;NA;106862;NA;236;image-keyboard-response;;NA;french
11568;23;condition1;_;;;;;;0.0-6.0-1.56;;NA;1;;+;NA;107165;NA;237;html-keyboard-response;;NA;french
11569;23;condition1;_;;;;;;0.0-6.0-2.56;;NA;2;;img2/tools/2.jpg;NA;107374;NA;238;image-keyboard-response;;NA;french
11570;23;condition1;D_T;D;O;;;;0.0-6.0-3.56;d;665;3;T;Press S if the two images were the same;NA;NA;NA;NA;;;NA;french
11571;23;condition1;_;;;;;;0.0-6.0-0.57;;NA;0;;img2/Mjap/1.jpg;NA;108245;NA;240;image-keyboard-response;;NA;french
11572;23;condition1;_;;;;;;0.0-6.0-1.57;;NA;1;;+;NA;108549;NA;241;html-keyboard-response;;NA;french
11573;23;condition1;_;;;;;;0.0-6.0-2.57;;NA;2;;img2/Mjap/9.jpg;NA;108758;NA;242;image-keyboard-response;;NA;french
