"";"workerid";"proliferate.condition";"X0";"X1";"failed_audio";"failed_images";"failed_video";"internal_node_id";"response";"rt";"sequence_id";"same_mirror_normal";"stimulus";"success";"time_elapsed";"timeout";"trial_index";"trial_type";"view_history";"error"
"1";12;"condition1";"";"";"[]";"[]";"[]";"0.0-0.0";"";"";"0";"";"";"True";755;"False";0;"preload";"";""
"2";12;"condition1";"";"";"";"";"";"0.0-1.0";"";"22977";"1";"";"";"";23732;"";1;"instructions";"[{'page_index': 0, 'viewing_time': 18712}, {'page_index': 1, 'viewing_time': 1130}, {'page_index': 2, 'viewing_time': 491}, {'page_index': 3, 'viewing_time': 2644}]";""
"3";12;"condition1";"";"";"";"";"";"0.0-2.0-0.0";"";"";"0";"";"img2/tools/2.jpg";"";23957;"";2;"image-keyboard-response";"";""
"4";12;"condition1";"";"";"";"";"";"0.0-2.0-1.0";"";"";"1";"";"+";"";24270;"";3;"html-keyboard-response";"";""
"5";12;"condition1";"";"";"";"";"";"0.0-2.0-2.0";"";"";"2";"";"img2/Mtools/2.jpg";"";24472;"";4;"image-keyboard-response";"";""
"6";12;"condition1";"";"";"";"";"";"0.0-2.0-3.0";"s";"9488";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";33960;"";5;"html-keyboard-response";"";""
"7";12;"condition1";"";"";"";"";"";"0.0-3.0";"";"5372";"3";"";"";"";39332;"";6;"instructions";"[{'page_index': 0, 'viewing_time': 5372}]";""
"8";12;"condition1";"";"";"";"";"";"0.0-4.0-0.0";"";"";"0";"";"img2/jap/2.jpg";"";39542;"";7;"image-keyboard-response";"";""
"9";12;"condition1";"";"";"";"";"";"0.0-4.0-1.0";"";"";"1";"";"+";"";39844;"";8;"html-keyboard-response";"";""
"10";12;"condition1";"";"";"";"";"";"0.0-4.0-2.0";"";"";"2";"";"img2/jap/3.jpg";"";40055;"";9;"image-keyboard-response";"";""
"11";12;"condition1";"";"";"";"";"";"0.0-4.0-3.0";"d";"3537";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";43593;"";10;"html-keyboard-response";"";""
"12";12;"condition1";"";"";"";"";"";"0.0-5.0";"";"2276";"5";"";"";"";45869;"";11;"instructions";"[{'page_index': 0, 'viewing_time': 2276}]";""
"13";12;"condition1";"";"";"";"";"";"0.0-6.0-0.0";"";"";"0";"";"img2/jap/5.jpg";"";46080;"";12;"image-keyboard-response";"";""
"14";12;"condition1";"";"";"";"";"";"0.0-6.0-1.0";"";"";"1";"";"+";"";46392;"";13;"html-keyboard-response";"";""
"15";12;"condition1";"";"";"";"";"";"0.0-6.0-2.0";"";"";"2";"";"img2/jap/5.jpg";"";46609;"";14;"image-keyboard-response";"";""
"16";12;"condition1";"S";"J";"";"";"";"0.0-6.0-3.0";"s";"1046";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";47656;"";15;"html-keyboard-response";"";""
"17";12;"condition1";"";"";"";"";"";"0.0-6.0-0.1";"";"";"0";"";"img2/jap/4.jpg";"";47860;"";16;"image-keyboard-response";"";""
"18";12;"condition1";"";"";"";"";"";"0.0-6.0-1.1";"";"";"1";"";"+";"";48172;"";17;"html-keyboard-response";"";""
"19";12;"condition1";"";"";"";"";"";"0.0-6.0-2.1";"";"";"2";"";"img2/jap/4.jpg";"";48391;"";18;"image-keyboard-response";"";""
"20";12;"condition1";"S";"J";"";"";"";"0.0-6.0-3.1";"d";"776";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";49167;"";19;"html-keyboard-response";"";""
"21";12;"condition1";"";"";"";"";"";"0.0-6.0-0.2";"";"";"0";"";"img2/Mtools/11.jpg";"";49376;"";20;"image-keyboard-response";"";""
"22";12;"condition1";"";"";"";"";"";"0.0-6.0-1.2";"";"";"1";"";"+";"";49688;"";21;"html-keyboard-response";"";""
"23";12;"condition1";"";"";"";"";"";"0.0-6.0-2.2";"";"";"2";"";"img2/Mtools/3.jpg";"";49892;"";22;"image-keyboard-response";"";""
"24";12;"condition1";"D";"O";"";"";"";"0.0-6.0-3.2";"d";"1331";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";51223;"";23;"html-keyboard-response";"";""
"25";12;"condition1";"";"";"";"";"";"0.0-6.0-0.3";"";"";"0";"";"img2/Mjap/3.jpg";"";51430;"";24;"image-keyboard-response";"";""
"26";12;"condition1";"";"";"";"";"";"0.0-6.0-1.3";"";"";"1";"";"+";"";51732;"";25;"html-keyboard-response";"";""
"27";12;"condition1";"";"";"";"";"";"0.0-6.0-2.3";"";"";"2";"";"img2/Mjap/4.jpg";"";51942;"";26;"image-keyboard-response";"";""
"28";12;"condition1";"D";"J";"";"";"";"0.0-6.0-3.3";"s";"1197";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";53143;"";27;"html-keyboard-response";"";""
"29";12;"condition1";"";"";"";"";"";"0.0-6.0-0.4";"";"";"0";"";"img2/false/13.jpg";"";53356;"";28;"image-keyboard-response";"";""
"30";12;"condition1";"";"";"";"";"";"0.0-6.0-1.4";"";"";"1";"";"+";"";53671;"";29;"html-keyboard-response";"";""
"31";12;"condition1";"";"";"";"";"";"0.0-6.0-2.4";"";"";"2";"";"img2/false/1.jpg";"";53890;"";30;"image-keyboard-response";"";""
"32";12;"condition1";"D";"M";"";"";"";"0.0-6.0-3.4";"d";"830";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";54720;"";31;"html-keyboard-response";"";""
"33";12;"condition1";"";"";"";"";"";"0.0-6.0-0.5";"";"";"0";"";"img2/jap/8.jpg";"";54931;"";32;"image-keyboard-response";"";""
"34";12;"condition1";"";"";"";"";"";"0.0-6.0-1.5";"";"";"1";"";"+";"";55243;"";33;"html-keyboard-response";"";""
"35";12;"condition1";"";"";"";"";"";"0.0-6.0-2.5";"";"";"2";"";"img2/jap/8.jpg";"";55461;"";34;"image-keyboard-response";"";""
"36";12;"condition1";"S";"J";"";"";"";"0.0-6.0-3.5";"s";"706";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";56167;"";35;"html-keyboard-response";"";""
"37";12;"condition1";"";"";"";"";"";"0.0-6.0-0.6";"";"";"0";"";"img2/Mfrench/1.jpg";"";56381;"";36;"image-keyboard-response";"";""
"38";12;"condition1";"";"";"";"";"";"0.0-6.0-1.6";"";"";"1";"";"+";"";56693;"";37;"html-keyboard-response";"";""
"39";12;"condition1";"";"";"";"";"";"0.0-6.0-2.6";"";"";"2";"";"img2/Mfrench/4.jpg";"";56910;"";38;"image-keyboard-response";"";""
"40";12;"condition1";"D";"R";"";"";"";"0.0-6.0-3.6";"d";"953";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";57863;"";39;"html-keyboard-response";"";""
"41";12;"condition1";"";"";"";"";"";"0.0-6.0-0.7";"";"";"0";"";"img2/jap/2.jpg";"";58080;"";40;"image-keyboard-response";"";""
"42";12;"condition1";"";"";"";"";"";"0.0-6.0-1.7";"";"";"1";"";"+";"";58391;"";41;"html-keyboard-response";"";""
"43";12;"condition1";"";"";"";"";"";"0.0-6.0-2.7";"";"";"2";"";"img2/Mjap/2.jpg";"";58610;"";42;"image-keyboard-response";"";""
"44";12;"condition1";"S";"J";"";"";"";"0.0-6.0-3.7";"d";"1325";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";59936;"";43;"html-keyboard-response";"";""
"45";12;"condition1";"";"";"";"";"";"0.0-6.0-0.8";"";"";"0";"";"img2/tools/13.jpg";"";60153;"";44;"image-keyboard-response";"";""
