"";"workerid";"proliferate.condition";"X0";"X1";"failed_audio";"failed_images";"failed_video";"internal_node_id";"response";"rt";"sequence_id";"same_mirror_normal";"stimulus";"success";"time_elapsed";"timeout";"trial_index";"trial_type";"view_history";"error"
"46";12;"condition1";"";"";"";"";"";"0.0-6.0-1.8";"";"";"1";"";"+";"";60464;"";45;"html-keyboard-response";"";""
"47";12;"condition1";"";"";"";"";"";"0.0-6.0-2.8";"";"";"2";"";"img2/tools/1.jpg";"";60681;"";46;"image-keyboard-response";"";""
"48";12;"condition1";"D";"O";"";"";"";"0.0-6.0-3.8";"s";"1238";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";61919;"";47;"html-keyboard-response";"";""
"49";12;"condition1";"";"";"";"";"";"0.0-6.0-0.9";"";"";"0";"";"img2/jap/8.jpg";"";62126;"";48;"image-keyboard-response";"";""
"50";12;"condition1";"";"";"";"";"";"0.0-6.0-1.9";"";"";"1";"";"+";"";62435;"";49;"html-keyboard-response";"";""
"51";12;"condition1";"";"";"";"";"";"0.0-6.0-2.9";"";"";"2";"";"img2/jap/5.jpg";"";62653;"";50;"image-keyboard-response";"";""
"52";12;"condition1";"D";"J";"";"";"";"0.0-6.0-3.9";"d";"1818";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";64471;"";51;"html-keyboard-response";"";""
"53";12;"condition1";"";"";"";"";"";"0.0-6.0-0.10";"";"";"0";"";"img2/tools/9.jpg";"";64698;"";52;"image-keyboard-response";"";""
"54";12;"condition1";"";"";"";"";"";"0.0-6.0-1.10";"";"";"1";"";"+";"";65009;"";53;"html-keyboard-response";"";""
"55";12;"condition1";"";"";"";"";"";"0.0-6.0-2.10";"";"";"2";"";"img2/tools/4.jpg";"";65213;"";54;"image-keyboard-response";"";""
"56";12;"condition1";"D";"O";"";"";"";"0.0-6.0-3.10";"d";"1027";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";66240;"";55;"html-keyboard-response";"";""
"57";12;"condition1";"";"";"";"";"";"0.0-6.0-0.11";"";"";"0";"";"img2/faces/5.jpg";"";66445;"";56;"image-keyboard-response";"";""
"58";12;"condition1";"";"";"";"";"";"0.0-6.0-1.11";"";"";"1";"";"+";"";66756;"";57;"html-keyboard-response";"";""
"59";12;"condition1";"";"";"";"";"";"0.0-6.0-2.11";"";"";"2";"";"img2/Mfaces/5.jpg";"";66973;"";58;"image-keyboard-response";"";""
"60";12;"condition1";"S";"H";"";"";"";"0.0-6.0-3.11";"s";"714";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";67688;"";59;"html-keyboard-response";"";""
"61";12;"condition1";"";"";"";"";"";"0.0-6.0-0.12";"";"";"0";"";"img2/Mfaces/6.jpg";"";67895;"";60;"image-keyboard-response";"";""
"62";12;"condition1";"";"";"";"";"";"0.0-6.0-1.12";"";"";"1";"";"+";"";68207;"";61;"html-keyboard-response";"";""
"63";12;"condition1";"";"";"";"";"";"0.0-6.0-2.12";"";"";"2";"";"img2/Mfaces/5.jpg";"";68423;"";62;"image-keyboard-response";"";""
"64";12;"condition1";"D";"H";"";"";"";"0.0-6.0-3.12";"d";"537";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";68960;"";63;"html-keyboard-response";"";""
"65";12;"condition1";"";"";"";"";"";"0.0-6.0-0.13";"";"";"0";"";"img2/tools/8.jpg";"";69170;"";64;"image-keyboard-response";"";""
"66";12;"condition1";"";"";"";"";"";"0.0-6.0-1.13";"";"";"1";"";"+";"";69481;"";65;"html-keyboard-response";"";""
"67";12;"condition1";"";"";"";"";"";"0.0-6.0-2.13";"";"";"2";"";"img2/tools/5.jpg";"";69698;"";66;"image-keyboard-response";"";""
"68";12;"condition1";"D";"O";"";"";"";"0.0-6.0-3.13";"d";"621";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";70319;"";67;"html-keyboard-response";"";""
"69";12;"condition1";"";"";"";"";"";"0.0-6.0-0.14";"";"";"0";"";"img2/Mjap/11.jpg";"";70523;"";68;"image-keyboard-response";"";""
"70";12;"condition1";"";"";"";"";"";"0.0-6.0-1.14";"";"";"1";"";"+";"";70834;"";69;"html-keyboard-response";"";""
"71";12;"condition1";"";"";"";"";"";"0.0-6.0-2.14";"";"";"2";"";"img2/Mjap/3.jpg";"";71051;"";70;"image-keyboard-response";"";""
"72";12;"condition1";"D";"J";"";"";"";"0.0-6.0-3.14";"d";"620";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";71671;"";71;"html-keyboard-response";"";""
"73";12;"condition1";"";"";"";"";"";"0.0-6.0-0.15";"";"";"0";"";"img2/jap/9.jpg";"";71876;"";72;"image-keyboard-response";"";""
"74";12;"condition1";"";"";"";"";"";"0.0-6.0-1.15";"";"";"1";"";"+";"";72187;"";73;"html-keyboard-response";"";""
"75";12;"condition1";"";"";"";"";"";"0.0-6.0-2.15";"";"";"2";"";"img2/jap/9.jpg";"";72405;"";74;"image-keyboard-response";"";""
"76";12;"condition1";"S";"J";"";"";"";"0.0-6.0-3.15";"s";"714";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";73119;"";75;"html-keyboard-response";"";""
"77";12;"condition1";"";"";"";"";"";"0.0-6.0-0.16";"";"";"0";"";"img2/tools/14.jpg";"";73338;"";76;"image-keyboard-response";"";""
"78";12;"condition1";"";"";"";"";"";"0.0-6.0-1.16";"";"";"1";"";"+";"";73649;"";77;"html-keyboard-response";"";""
"79";12;"condition1";"";"";"";"";"";"0.0-6.0-2.16";"";"";"2";"";"img2/tools/12.jpg";"";73851;"";78;"image-keyboard-response";"";""
"80";12;"condition1";"D";"O";"";"";"";"0.0-6.0-3.16";"d";"509";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";74360;"";79;"html-keyboard-response";"";""
"81";12;"condition1";"";"";"";"";"";"0.0-6.0-0.17";"";"";"0";"";"img2/faces/2.jpg";"";74568;"";80;"image-keyboard-response";"";""
"82";12;"condition1";"";"";"";"";"";"0.0-6.0-1.17";"";"";"1";"";"+";"";74877;"";81;"html-keyboard-response";"";""
"83";12;"condition1";"";"";"";"";"";"0.0-6.0-2.17";"";"";"2";"";"img2/Mfaces/2.jpg";"";75097;"";82;"image-keyboard-response";"";""
"84";12;"condition1";"S";"H";"";"";"";"0.0-6.0-3.17";"d";"1007";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";76104;"";83;"html-keyboard-response";"";""
"85";12;"condition1";"";"";"";"";"";"0.0-6.0-0.18";"";"";"0";"";"img2/Mjap/2.jpg";"";76312;"";84;"image-keyboard-response";"";""
"86";12;"condition1";"";"";"";"";"";"0.0-6.0-1.18";"";"";"1";"";"+";"";76621;"";85;"html-keyboard-response";"";""
"87";12;"condition1";"";"";"";"";"";"0.0-6.0-2.18";"";"";"2";"";"img2/Mjap/11.jpg";"";76841;"";86;"image-keyboard-response";"";""
"88";12;"condition1";"D";"J";"";"";"";"0.0-6.0-3.18";"d";"815";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";77656;"";87;"html-keyboard-response";"";""
"89";12;"condition1";"";"";"";"";"";"0.0-6.0-0.19";"";"";"0";"";"img2/jap/7.jpg";"";77879;"";88;"image-keyboard-response";"";""
"90";12;"condition1";"";"";"";"";"";"0.0-6.0-1.19";"";"";"1";"";"+";"";78189;"";89;"html-keyboard-response";"";""
"91";12;"condition1";"";"";"";"";"";"0.0-6.0-2.19";"";"";"2";"";"img2/jap/10.jpg";"";78407;"";90;"image-keyboard-response";"";""
"92";12;"condition1";"D";"J";"";"";"";"0.0-6.0-3.19";"d";"792";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";79199;"";91;"html-keyboard-response";"";""
"93";12;"condition1";"";"";"";"";"";"0.0-6.0-0.20";"";"";"0";"";"img2/tools/7.jpg";"";79408;"";92;"image-keyboard-response";"";""
"94";12;"condition1";"";"";"";"";"";"0.0-6.0-1.20";"";"";"1";"";"+";"";79720;"";93;"html-keyboard-response";"";""
"95";12;"condition1";"";"";"";"";"";"0.0-6.0-2.20";"";"";"2";"";"img2/tools/10.jpg";"";79925;"";94;"image-keyboard-response";"";""
"96";12;"condition1";"D";"O";"";"";"";"0.0-6.0-3.20";"d";"578";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";80503;"";95;"html-keyboard-response";"";""
"97";12;"condition1";"";"";"";"";"";"0.0-6.0-0.21";"";"";"0";"";"img2/false/13.jpg";"";80722;"";96;"image-keyboard-response";"";""
"98";12;"condition1";"";"";"";"";"";"0.0-6.0-1.21";"";"";"1";"";"+";"";81034;"";97;"html-keyboard-response";"";""
"99";12;"condition1";"";"";"";"";"";"0.0-6.0-2.21";"";"";"2";"";"img2/Mfalse/13.jpg";"";81252;"";98;"image-keyboard-response";"";""
"100";12;"condition1";"S";"M";"";"";"";"0.0-6.0-3.21";"d";"339";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";81592;"";99;"html-keyboard-response";"";""
"101";12;"condition1";"";"";"";"";"";"0.0-6.0-0.22";"";"";"0";"";"img2/Mfalse/4.jpg";"";81799;"";100;"image-keyboard-response";"";""
"102";12;"condition1";"";"";"";"";"";"0.0-6.0-1.22";"";"";"1";"";"+";"";82111;"";101;"html-keyboard-response";"";""
"103";12;"condition1";"";"";"";"";"";"0.0-6.0-2.22";"";"";"2";"";"img2/Mfalse/12.jpg";"";82330;"";102;"image-keyboard-response";"";""
"104";12;"condition1";"D";"M";"";"";"";"0.0-6.0-3.22";"d";"429";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";82759;"";103;"html-keyboard-response";"";""
"105";12;"condition1";"";"";"";"";"";"0.0-6.0-0.23";"";"";"0";"";"img2/jap/12.jpg";"";82967;"";104;"image-keyboard-response";"";""
"106";12;"condition1";"";"";"";"";"";"0.0-6.0-1.23";"";"";"1";"";"+";"";83278;"";105;"html-keyboard-response";"";""
"107";12;"condition1";"";"";"";"";"";"0.0-6.0-2.23";"";"";"2";"";"img2/jap/9.jpg";"";83495;"";106;"image-keyboard-response";"";""
"108";12;"condition1";"D";"J";"";"";"";"0.0-6.0-3.23";"d";"536";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";84031;"";107;"html-keyboard-response";"";""
"109";12;"condition1";"";"";"";"";"";"0.0-6.0-0.24";"";"";"0";"";"img2/jap/12.jpg";"";84246;"";108;"image-keyboard-response";"";""
"110";12;"condition1";"";"";"";"";"";"0.0-6.0-1.24";"";"";"1";"";"+";"";84556;"";109;"html-keyboard-response";"";""
"111";12;"condition1";"";"";"";"";"";"0.0-6.0-2.24";"";"";"2";"";"img2/Mjap/12.jpg";"";84775;"";110;"image-keyboard-response";"";""
"112";12;"condition1";"S";"J";"";"";"";"0.0-6.0-3.24";"d";"368";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";85143;"";111;"html-keyboard-response";"";""
"113";12;"condition1";"";"";"";"";"";"0.0-6.0-0.25";"";"";"0";"";"img2/faces/7.jpg";"";85352;"";112;"image-keyboard-response";"";""
"114";12;"condition1";"";"";"";"";"";"0.0-6.0-1.25";"";"";"1";"";"+";"";85664;"";113;"html-keyboard-response";"";""
"115";12;"condition1";"";"";"";"";"";"0.0-6.0-2.25";"";"";"2";"";"img2/Mfaces/7.jpg";"";85868;"";114;"image-keyboard-response";"";""
"116";12;"condition1";"S";"H";"";"";"";"0.0-6.0-3.25";"d";"811";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";86679;"";115;"html-keyboard-response";"";""
"117";12;"condition1";"";"";"";"";"";"0.0-6.0-0.26";"";"";"0";"";"img2/french/10.jpg";"";86895;"";116;"image-keyboard-response";"";""
"118";12;"condition1";"";"";"";"";"";"0.0-6.0-1.26";"";"";"1";"";"+";"";87207;"";117;"html-keyboard-response";"";""
"119";12;"condition1";"";"";"";"";"";"0.0-6.0-2.26";"";"";"2";"";"img2/french/10.jpg";"";87412;"";118;"image-keyboard-response";"";""
"120";12;"condition1";"S";"R";"";"";"";"0.0-6.0-3.26";"s";"620";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";88032;"";119;"html-keyboard-response";"";""
"121";12;"condition1";"";"";"";"";"";"0.0-6.0-0.27";"";"";"0";"";"img2/faces/7.jpg";"";88239;"";120;"image-keyboard-response";"";""
"122";12;"condition1";"";"";"";"";"";"0.0-6.0-1.27";"";"";"1";"";"+";"";88551;"";121;"html-keyboard-response";"";""
"123";12;"condition1";"";"";"";"";"";"0.0-6.0-2.27";"";"";"2";"";"img2/faces/7.jpg";"";88769;"";122;"image-keyboard-response";"";""
"124";12;"condition1";"S";"H";"";"";"";"0.0-6.0-3.27";"s";"326";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";89095;"";123;"html-keyboard-response";"";""
"125";12;"condition1";"";"";"";"";"";"0.0-6.0-0.28";"";"";"0";"";"img2/faces/14.jpg";"";89313;"";124;"image-keyboard-response";"";""
"126";12;"condition1";"";"";"";"";"";"0.0-6.0-1.28";"";"";"1";"";"+";"";89627;"";125;"html-keyboard-response";"";""
"127";12;"condition1";"";"";"";"";"";"0.0-6.0-2.28";"";"";"2";"";"img2/faces/12.jpg";"";89848;"";126;"image-keyboard-response";"";""
"128";12;"condition1";"D";"H";"";"";"";"0.0-6.0-3.28";"d";"352";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";90200;"";127;"html-keyboard-response";"";""
"129";12;"condition1";"";"";"";"";"";"0.0-6.0-0.29";"";"";"0";"";"img2/Mfaces/9.jpg";"";90426;"";128;"image-keyboard-response";"";""
"130";12;"condition1";"";"";"";"";"";"0.0-6.0-1.29";"";"";"1";"";"+";"";90737;"";129;"html-keyboard-response";"";""
"131";12;"condition1";"";"";"";"";"";"0.0-6.0-2.29";"";"";"2";"";"img2/Mfaces/4.jpg";"";90954;"";130;"image-keyboard-response";"";""
"132";12;"condition1";"D";"H";"";"";"";"0.0-6.0-3.29";"d";"509";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";91463;"";131;"html-keyboard-response";"";""
"133";12;"condition1";"";"";"";"";"";"0.0-6.0-0.30";"";"";"0";"";"img2/jap/13.jpg";"";91676;"";132;"image-keyboard-response";"";""
"134";12;"condition1";"";"";"";"";"";"0.0-6.0-1.30";"";"";"1";"";"+";"";91989;"";133;"html-keyboard-response";"";""
"135";12;"condition1";"";"";"";"";"";"0.0-6.0-2.30";"";"";"2";"";"img2/jap/1.jpg";"";92207;"";134;"image-keyboard-response";"";""
"136";12;"condition1";"D";"J";"";"";"";"0.0-6.0-3.30";"d";"472";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";92679;"";135;"html-keyboard-response";"";""
"137";12;"condition1";"";"";"";"";"";"0.0-6.0-0.31";"";"";"0";"";"img2/faces/13.jpg";"";92893;"";136;"image-keyboard-response";"";""
"138";12;"condition1";"";"";"";"";"";"0.0-6.0-1.31";"";"";"1";"";"+";"";93207;"";137;"html-keyboard-response";"";""
"139";12;"condition1";"";"";"";"";"";"0.0-6.0-2.31";"";"";"2";"";"img2/faces/1.jpg";"";93426;"";138;"image-keyboard-response";"";""
"140";12;"condition1";"D";"H";"";"";"";"0.0-6.0-3.31";"d";"301";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";93727;"";139;"html-keyboard-response";"";""
"141";12;"condition1";"";"";"";"";"";"0.0-6.0-0.32";"";"";"0";"";"img2/faces/9.jpg";"";93945;"";140;"image-keyboard-response";"";""
"142";12;"condition1";"";"";"";"";"";"0.0-6.0-1.32";"";"";"1";"";"+";"";94258;"";141;"html-keyboard-response";"";""
"143";12;"condition1";"";"";"";"";"";"0.0-6.0-2.32";"";"";"2";"";"img2/faces/4.jpg";"";94460;"";142;"image-keyboard-response";"";""
"144";12;"condition1";"D";"H";"";"";"";"0.0-6.0-3.32";"d";"275";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";94735;"";143;"html-keyboard-response";"";""
"145";12;"condition1";"";"";"";"";"";"0.0-6.0-0.33";"";"";"0";"";"img2/jap/11.jpg";"";94946;"";144;"image-keyboard-response";"";""
"146";12;"condition1";"";"";"";"";"";"0.0-6.0-1.33";"";"";"1";"";"+";"";95253;"";145;"html-keyboard-response";"";""
"147";12;"condition1";"";"";"";"";"";"0.0-6.0-2.33";"";"";"2";"";"img2/jap/3.jpg";"";95475;"";146;"image-keyboard-response";"";""
"148";12;"condition1";"D";"J";"";"";"";"0.0-6.0-3.33";"d";"493";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";95968;"";147;"html-keyboard-response";"";""
"149";12;"condition1";"";"";"";"";"";"0.0-6.0-0.34";"";"";"0";"";"img2/tools/11.jpg";"";96180;"";148;"image-keyboard-response";"";""
"150";12;"condition1";"";"";"";"";"";"0.0-6.0-1.34";"";"";"1";"";"+";"";96490;"";149;"html-keyboard-response";"";""
"151";12;"condition1";"";"";"";"";"";"0.0-6.0-2.34";"";"";"2";"";"img2/Mtools/11.jpg";"";96708;"";150;"image-keyboard-response";"";""
"152";12;"condition1";"S";"O";"";"";"";"0.0-6.0-3.34";"s";"883";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";97591;"";151;"html-keyboard-response";"";""
"153";12;"condition1";"";"";"";"";"";"0.0-6.0-0.35";"";"";"0";"";"img2/tools/3.jpg";"";97798;"";152;"image-keyboard-response";"";""
"154";12;"condition1";"";"";"";"";"";"0.0-6.0-1.35";"";"";"1";"";"+";"";98110;"";153;"html-keyboard-response";"";""
"155";12;"condition1";"";"";"";"";"";"0.0-6.0-2.35";"";"";"2";"";"img2/tools/4.jpg";"";98329;"";154;"image-keyboard-response";"";""
"156";12;"condition1";"D";"O";"";"";"";"0.0-6.0-3.35";"d";"279";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";98608;"";155;"html-keyboard-response";"";""
"157";12;"condition1";"";"";"";"";"";"0.0-6.0-0.36";"";"";"0";"";"img2/Mjap/7.jpg";"";98814;"";156;"image-keyboard-response";"";""
"158";12;"condition1";"";"";"";"";"";"0.0-6.0-1.36";"";"";"1";"";"+";"";99124;"";157;"html-keyboard-response";"";""
"159";12;"condition1";"";"";"";"";"";"0.0-6.0-2.36";"";"";"2";"";"img2/Mjap/10.jpg";"";99343;"";158;"image-keyboard-response";"";""
"160";12;"condition1";"D";"J";"";"";"";"0.0-6.0-3.36";"d";"1025";"3";"M";"Press S if the two images were the same, Press D if the two images were different.";"";100368;"";159;"html-keyboard-response";"";""
"161";12;"condition1";"";"";"";"";"";"0.0-6.0-0.37";"";"";"0";"";"img2/faces/2.jpg";"";100575;"";160;"image-keyboard-response";"";""
"162";12;"condition1";"";"";"";"";"";"0.0-6.0-1.37";"";"";"1";"";"+";"";100884;"";161;"html-keyboard-response";"";""
"163";12;"condition1";"";"";"";"";"";"0.0-6.0-2.37";"";"";"2";"";"img2/faces/11.jpg";"";101102;"";162;"image-keyboard-response";"";""
"164";12;"condition1";"D";"H";"";"";"";"0.0-6.0-3.37";"d";"285";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";101391;"";163;"html-keyboard-response";"";""
"165";12;"condition1";"";"";"";"";"";"0.0-6.0-0.38";"";"";"0";"";"img2/french/7.jpg";"";101605;"";164;"image-keyboard-response";"";""
"166";12;"condition1";"";"";"";"";"";"0.0-6.0-1.38";"";"";"1";"";"+";"";101916;"";165;"html-keyboard-response";"";""
"167";12;"condition1";"";"";"";"";"";"0.0-6.0-2.38";"";"";"2";"";"img2/french/10.jpg";"";102133;"";166;"image-keyboard-response";"";""
"168";12;"condition1";"D";"R";"";"";"";"0.0-6.0-3.38";"d";"290";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";102423;"";167;"html-keyboard-response";"";""
"169";12;"condition1";"";"";"";"";"";"0.0-6.0-0.39";"";"";"0";"";"img2/tools/1.jpg";"";102632;"";168;"image-keyboard-response";"";""
"170";12;"condition1";"";"";"";"";"";"0.0-6.0-1.39";"";"";"1";"";"+";"";102943;"";169;"html-keyboard-response";"";""
"171";12;"condition1";"";"";"";"";"";"0.0-6.0-2.39";"";"";"2";"";"img2/tools/1.jpg";"";103147;"";170;"image-keyboard-response";"";""
"172";12;"condition1";"S";"O";"";"";"";"0.0-6.0-3.39";"s";"388";"3";"T";"Press S if the two images were the same, Press D if the two images were different.";"";103535;"";171;"html-keyboard-response";"";""
