workerid,proliferate.condition,0,1,failed_audio,failed_images,failed_video,internal_node_id,response,rt,stimulus,success,time_elapsed,timeout,trial_index,trial_type,view_history,error
12,condition1,,,[],[],[],0.0-0.0,,,,True,755,False,0,preload,,
12,condition1,,,,,,0.0-1.0,,22977,,,23732,,1,instructions,"[{'page_index': 0, 'viewing_time': 18712}, {'page_index': 1, 'viewing_time': 1130}, {'page_index': 2, 'viewing_time': 491}, {'page_index': 3, 'viewing_time': 2644}]",
12,condition1,,,,,,0.0-2.0-0.0,,,img2/tools/2.jpg,,23957,,2,image-keyboard-response,,
12,condition1,,,,,,0.0-2.0-1.0,,,+,,24270,,3,html-keyboard-response,,
12,condition1,,,,,,0.0-2.0-2.0,,,img2/Mtools/2.jpg,,24472,,4,image-keyboard-response,,
12,condition1,,,,,,0.0-2.0-3.0,s,9488,"Press S if the two images were the same, Press D if the two images were different.",,33960,,5,html-keyboard-response,,
12,condition1,,,,,,0.0-3.0,,5372,,,39332,,6,instructions,"[{'page_index': 0, 'viewing_time': 5372}]",
12,condition1,,,,,,0.0-4.0-0.0,,,img2/jap/2.jpg,,39542,,7,image-keyboard-response,,
12,condition1,,,,,,0.0-4.0-1.0,,,+,,39844,,8,html-keyboard-response,,
12,condition1,,,,,,0.0-4.0-2.0,,,img2/jap/3.jpg,,40055,,9,image-keyboard-response,,
12,condition1,,,,,,0.0-4.0-3.0,d,3537,"Press S if the two images were the same, Press D if the two images were different.",,43593,,10,html-keyboard-response,,
12,condition1,,,,,,0.0-5.0,,2276,,,45869,,11,instructions,"[{'page_index': 0, 'viewing_time': 2276}]",
12,condition1,,,,,,0.0-6.0-0.0,,,img2/jap/5.jpg,,46080,,12,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.0,,,+,,46392,,13,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.0,,,img2/jap/5.jpg,,46609,,14,image-keyboard-response,,
12,condition1,S,J,,,,0.0-6.0-3.0,s,1046,"Press S if the two images were the same, Press D if the two images were different.",,47656,,15,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.1,,,img2/jap/4.jpg,,47860,,16,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.1,,,+,,48172,,17,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.1,,,img2/jap/4.jpg,,48391,,18,image-keyboard-response,,
12,condition1,S,J,,,,0.0-6.0-3.1,d,776,"Press S if the two images were the same, Press D if the two images were different.",,49167,,19,html-keyboard-response,,
