workerid,proliferate.condition,0,1,failed_audio,failed_images,failed_video,internal_node_id,response,rt,stimulus,success,time_elapsed,timeout,trial_index,trial_type,view_history,error
12,condition1,,,,,,0.0-6.0-0.2,,,img2/Mtools/11.jpg,,49376,,20,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.2,,,+,,49688,,21,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.2,,,img2/Mtools/3.jpg,,49892,,22,image-keyboard-response,,
12,condition1,D,O,,,,0.0-6.0-3.2,d,1331,"Press S if the two images were the same, Press D if the two images were different.",,51223,,23,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.3,,,img2/Mjap/3.jpg,,51430,,24,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.3,,,+,,51732,,25,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.3,,,img2/Mjap/4.jpg,,51942,,26,image-keyboard-response,,
12,condition1,D,J,,,,0.0-6.0-3.3,s,1197,"Press S if the two images were the same, Press D if the two images were different.",,53143,,27,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.4,,,img2/false/13.jpg,,53356,,28,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.4,,,+,,53671,,29,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.4,,,img2/false/1.jpg,,53890,,30,image-keyboard-response,,
12,condition1,D,M,,,,0.0-6.0-3.4,d,830,"Press S if the two images were the same, Press D if the two images were different.",,54720,,31,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.5,,,img2/jap/8.jpg,,54931,,32,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.5,,,+,,55243,,33,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.5,,,img2/jap/8.jpg,,55461,,34,image-keyboard-response,,
12,condition1,S,J,,,,0.0-6.0-3.5,s,706,"Press S if the two images were the same, Press D if the two images were different.",,56167,,35,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.6,,,img2/Mfrench/1.jpg,,56381,,36,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.6,,,+,,56693,,37,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.6,,,img2/Mfrench/4.jpg,,56910,,38,image-keyboard-response,,
12,condition1,D,R,,,,0.0-6.0-3.6,d,953,"Press S if the two images were the same, Press D if the two images were different.",,57863,,39,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.7,,,img2/jap/2.jpg,,58080,,40,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.7,,,+,,58391,,41,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.7,,,img2/Mjap/2.jpg,,58610,,42,image-keyboard-response,,
12,condition1,S,J,,,,0.0-6.0-3.7,d,1325,"Press S if the two images were the same, Press D if the two images were different.",,59936,,43,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.8,,,img2/tools/13.jpg,,60153,,44,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.8,,,+,,60464,,45,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.8,,,img2/tools/1.jpg,,60681,,46,image-keyboard-response,,
12,condition1,D,O,,,,0.0-6.0-3.8,s,1238,"Press S if the two images were the same, Press D if the two images were different.",,61919,,47,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.9,,,img2/jap/8.jpg,,62126,,48,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.9,,,+,,62435,,49,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.9,,,img2/jap/5.jpg,,62653,,50,image-keyboard-response,,
12,condition1,D,J,,,,0.0-6.0-3.9,d,1818,"Press S if the two images were the same, Press D if the two images were different.",,64471,,51,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.10,,,img2/tools/9.jpg,,64698,,52,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.10,,,+,,65009,,53,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.10,,,img2/tools/4.jpg,,65213,,54,image-keyboard-response,,
12,condition1,D,O,,,,0.0-6.0-3.10,d,1027,"Press S if the two images were the same, Press D if the two images were different.",,66240,,55,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.11,,,img2/faces/5.jpg,,66445,,56,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.11,,,+,,66756,,57,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.11,,,img2/Mfaces/5.jpg,,66973,,58,image-keyboard-response,,
12,condition1,S,H,,,,0.0-6.0-3.11,s,714,"Press S if the two images were the same, Press D if the two images were different.",,67688,,59,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.12,,,img2/Mfaces/6.jpg,,67895,,60,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.12,,,+,,68207,,61,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.12,,,img2/Mfaces/5.jpg,,68423,,62,image-keyboard-response,,
12,condition1,D,H,,,,0.0-6.0-3.12,d,537,"Press S if the two images were the same, Press D if the two images were different.",,68960,,63,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.13,,,img2/tools/8.jpg,,69170,,64,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.13,,,+,,69481,,65,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.13,,,img2/tools/5.jpg,,69698,,66,image-keyboard-response,,
12,condition1,D,O,,,,0.0-6.0-3.13,d,621,"Press S if the two images were the same, Press D if the two images were different.",,70319,,67,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.14,,,img2/Mjap/11.jpg,,70523,,68,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.14,,,+,,70834,,69,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.14,,,img2/Mjap/3.jpg,,71051,,70,image-keyboard-response,,
12,condition1,D,J,,,,0.0-6.0-3.14,d,620,"Press S if the two images were the same, Press D if the two images were different.",,71671,,71,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.15,,,img2/jap/9.jpg,,71876,,72,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.15,,,+,,72187,,73,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.15,,,img2/jap/9.jpg,,72405,,74,image-keyboard-response,,
12,condition1,S,J,,,,0.0-6.0-3.15,s,714,"Press S if the two images were the same, Press D if the two images were different.",,73119,,75,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.16,,,img2/tools/14.jpg,,73338,,76,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.16,,,+,,73649,,77,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.16,,,img2/tools/12.jpg,,73851,,78,image-keyboard-response,,
12,condition1,D,O,,,,0.0-6.0-3.16,d,509,"Press S if the two images were the same, Press D if the two images were different.",,74360,,79,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.17,,,img2/faces/2.jpg,,74568,,80,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.17,,,+,,74877,,81,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.17,,,img2/Mfaces/2.jpg,,75097,,82,image-keyboard-response,,
12,condition1,S,H,,,,0.0-6.0-3.17,d,1007,"Press S if the two images were the same, Press D if the two images were different.",,76104,,83,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.18,,,img2/Mjap/2.jpg,,76312,,84,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.18,,,+,,76621,,85,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.18,,,img2/Mjap/11.jpg,,76841,,86,image-keyboard-response,,
12,condition1,D,J,,,,0.0-6.0-3.18,d,815,"Press S if the two images were the same, Press D if the two images were different.",,77656,,87,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.19,,,img2/jap/7.jpg,,77879,,88,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.19,,,+,,78189,,89,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.19,,,img2/jap/10.jpg,,78407,,90,image-keyboard-response,,
12,condition1,D,J,,,,0.0-6.0-3.19,d,792,"Press S if the two images were the same, Press D if the two images were different.",,79199,,91,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.20,,,img2/tools/7.jpg,,79408,,92,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.20,,,+,,79720,,93,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.20,,,img2/tools/10.jpg,,79925,,94,image-keyboard-response,,
12,condition1,D,O,,,,0.0-6.0-3.20,d,578,"Press S if the two images were the same, Press D if the two images were different.",,80503,,95,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.21,,,img2/false/13.jpg,,80722,,96,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.21,,,+,,81034,,97,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.21,,,img2/Mfalse/13.jpg,,81252,,98,image-keyboard-response,,
12,condition1,S,M,,,,0.0-6.0-3.21,d,339,"Press S if the two images were the same, Press D if the two images were different.",,81592,,99,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.22,,,img2/Mfalse/4.jpg,,81799,,100,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.22,,,+,,82111,,101,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.22,,,img2/Mfalse/12.jpg,,82330,,102,image-keyboard-response,,
12,condition1,D,M,,,,0.0-6.0-3.22,d,429,"Press S if the two images were the same, Press D if the two images were different.",,82759,,103,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.23,,,img2/jap/12.jpg,,82967,,104,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.23,,,+,,83278,,105,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.23,,,img2/jap/9.jpg,,83495,,106,image-keyboard-response,,
12,condition1,D,J,,,,0.0-6.0-3.23,d,536,"Press S if the two images were the same, Press D if the two images were different.",,84031,,107,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.24,,,img2/jap/12.jpg,,84246,,108,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.24,,,+,,84556,,109,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.24,,,img2/Mjap/12.jpg,,84775,,110,image-keyboard-response,,
12,condition1,S,J,,,,0.0-6.0-3.24,d,368,"Press S if the two images were the same, Press D if the two images were different.",,85143,,111,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.25,,,img2/faces/7.jpg,,85352,,112,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.25,,,+,,85664,,113,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.25,,,img2/Mfaces/7.jpg,,85868,,114,image-keyboard-response,,
12,condition1,S,H,,,,0.0-6.0-3.25,d,811,"Press S if the two images were the same, Press D if the two images were different.",,86679,,115,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.26,,,img2/french/10.jpg,,86895,,116,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.26,,,+,,87207,,117,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.26,,,img2/french/10.jpg,,87412,,118,image-keyboard-response,,
12,condition1,S,R,,,,0.0-6.0-3.26,s,620,"Press S if the two images were the same, Press D if the two images were different.",,88032,,119,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.27,,,img2/faces/7.jpg,,88239,,120,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.27,,,+,,88551,,121,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.27,,,img2/faces/7.jpg,,88769,,122,image-keyboard-response,,
12,condition1,S,H,,,,0.0-6.0-3.27,s,326,"Press S if the two images were the same, Press D if the two images were different.",,89095,,123,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.28,,,img2/faces/14.jpg,,89313,,124,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.28,,,+,,89627,,125,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.28,,,img2/faces/12.jpg,,89848,,126,image-keyboard-response,,
12,condition1,D,H,,,,0.0-6.0-3.28,d,352,"Press S if the two images were the same, Press D if the two images were different.",,90200,,127,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.29,,,img2/Mfaces/9.jpg,,90426,,128,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.29,,,+,,90737,,129,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.29,,,img2/Mfaces/4.jpg,,90954,,130,image-keyboard-response,,
12,condition1,D,H,,,,0.0-6.0-3.29,d,509,"Press S if the two images were the same, Press D if the two images were different.",,91463,,131,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.30,,,img2/jap/13.jpg,,91676,,132,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.30,,,+,,91989,,133,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.30,,,img2/jap/1.jpg,,92207,,134,image-keyboard-response,,
12,condition1,D,J,,,,0.0-6.0-3.30,d,472,"Press S if the two images were the same, Press D if the two images were different.",,92679,,135,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.31,,,img2/faces/13.jpg,,92893,,136,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.31,,,+,,93207,,137,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.31,,,img2/faces/1.jpg,,93426,,138,image-keyboard-response,,
12,condition1,D,H,,,,0.0-6.0-3.31,d,301,"Press S if the two images were the same, Press D if the two images were different.",,93727,,139,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.32,,,img2/faces/9.jpg,,93945,,140,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.32,,,+,,94258,,141,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.32,,,img2/faces/4.jpg,,94460,,142,image-keyboard-response,,
12,condition1,D,H,,,,0.0-6.0-3.32,d,275,"Press S if the two images were the same, Press D if the two images were different.",,94735,,143,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.33,,,img2/jap/11.jpg,,94946,,144,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.33,,,+,,95253,,145,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.33,,,img2/jap/3.jpg,,95475,,146,image-keyboard-response,,
12,condition1,D,J,,,,0.0-6.0-3.33,d,493,"Press S if the two images were the same, Press D if the two images were different.",,95968,,147,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.34,,,img2/tools/11.jpg,,96180,,148,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.34,,,+,,96490,,149,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.34,,,img2/Mtools/11.jpg,,96708,,150,image-keyboard-response,,
12,condition1,S,O,,,,0.0-6.0-3.34,s,883,"Press S if the two images were the same, Press D if the two images were different.",,97591,,151,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.35,,,img2/tools/3.jpg,,97798,,152,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.35,,,+,,98110,,153,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.35,,,img2/tools/4.jpg,,98329,,154,image-keyboard-response,,
12,condition1,D,O,,,,0.0-6.0-3.35,d,279,"Press S if the two images were the same, Press D if the two images were different.",,98608,,155,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.36,,,img2/Mjap/7.jpg,,98814,,156,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.36,,,+,,99124,,157,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.36,,,img2/Mjap/10.jpg,,99343,,158,image-keyboard-response,,
12,condition1,D,J,,,,0.0-6.0-3.36,d,1025,"Press S if the two images were the same, Press D if the two images were different.",,100368,,159,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.37,,,img2/faces/2.jpg,,100575,,160,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.37,,,+,,100884,,161,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.37,,,img2/faces/11.jpg,,101102,,162,image-keyboard-response,,
12,condition1,D,H,,,,0.0-6.0-3.37,d,285,"Press S if the two images were the same, Press D if the two images were different.",,101391,,163,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.38,,,img2/french/7.jpg,,101605,,164,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.38,,,+,,101916,,165,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.38,,,img2/french/10.jpg,,102133,,166,image-keyboard-response,,
12,condition1,D,R,,,,0.0-6.0-3.38,d,290,"Press S if the two images were the same, Press D if the two images were different.",,102423,,167,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.39,,,img2/tools/1.jpg,,102632,,168,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.39,,,+,,102943,,169,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.39,,,img2/tools/1.jpg,,103147,,170,image-keyboard-response,,
12,condition1,S,O,,,,0.0-6.0-3.39,s,388,"Press S if the two images were the same, Press D if the two images were different.",,103535,,171,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.40,,,img2/french/12.jpg,,103752,,172,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.40,,,+,,104064,,173,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.40,,,img2/Mfrench/12.jpg,,104283,,174,image-keyboard-response,,
12,condition1,S,R,,,,0.0-6.0-3.40,d,388,"Press S if the two images were the same, Press D if the two images were different.",,104671,,175,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.41,,,img2/faces/2.jpg,,104887,,176,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.41,,,+,,105209,,177,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.41,,,img2/faces/2.jpg,,105426,,178,image-keyboard-response,,
12,condition1,S,H,,,,0.0-6.0-3.41,s,293,"Press S if the two images were the same, Press D if the two images were different.",,105720,,179,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.42,,,img2/tools/10.jpg,,105925,,180,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.42,,,+,,106231,,181,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.42,,,img2/tools/14.jpg,,106449,,182,image-keyboard-response,,
12,condition1,D,O,,,,0.0-6.0-3.42,d,237,"Press S if the two images were the same, Press D if the two images were different.",,106687,,183,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.43,,,img2/french/3.jpg,,106903,,184,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.43,,,+,,107214,,185,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.43,,,img2/french/4.jpg,,107432,,186,image-keyboard-response,,
12,condition1,D,R,,,,0.0-6.0-3.43,d,775,"Press S if the two images were the same, Press D if the two images were different.",,108207,,187,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.44,,,img2/jap/14.jpg,,108427,,188,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.44,,,+,,108736,,189,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.44,,,img2/jap/14.jpg,,108939,,190,image-keyboard-response,,
12,condition1,S,J,,,,0.0-6.0-3.44,s,301,"Press S if the two images were the same, Press D if the two images were different.",,109240,,191,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.45,,,img2/tools/11.jpg,,109454,,192,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.45,,,+,,109767,,193,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.45,,,img2/tools/11.jpg,,109968,,194,image-keyboard-response,,
12,condition1,S,O,,,,0.0-6.0-3.45,s,614,"Press S if the two images were the same, Press D if the two images were different.",,110583,,195,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.46,,,img2/false/6.jpg,,110788,,196,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.46,,,+,,111100,,197,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.46,,,img2/false/5.jpg,,111316,,198,image-keyboard-response,,
12,condition1,D,M,,,,0.0-6.0-3.46,d,283,"Press S if the two images were the same, Press D if the two images were different.",,111599,,199,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.47,,,img2/Mjap/1.jpg,,111814,,200,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.47,,,+,,112128,,201,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.47,,,img2/Mjap/4.jpg,,112347,,202,image-keyboard-response,,
12,condition1,D,J,,,,0.0-6.0-3.47,d,700,"Press S if the two images were the same, Press D if the two images were different.",,113047,,203,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.48,,,img2/faces/1.jpg,,113266,,204,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.48,,,+,,113577,,205,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.48,,,img2/faces/4.jpg,,113781,,206,image-keyboard-response,,
12,condition1,D,H,,,,0.0-6.0-3.48,d,2266,"Press S if the two images were the same, Press D if the two images were different.",,116047,,207,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.49,,,img2/jap/13.jpg,,116257,,208,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.49,,,+,,116567,,209,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.49,,,img2/Mjap/13.jpg,,116785,,210,image-keyboard-response,,
12,condition1,S,J,,,,0.0-6.0-3.49,d,598,"Press S if the two images were the same, Press D if the two images were different.",,117383,,211,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.50,,,img2/false/3.jpg,,117610,,212,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.50,,,+,,117926,,213,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.50,,,img2/false/3.jpg,,118144,,214,image-keyboard-response,,
12,condition1,S,M,,,,0.0-6.0-3.50,s,327,"Press S if the two images were the same, Press D if the two images were different.",,118472,,215,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.51,,,img2/jap/10.jpg,,118676,,216,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.51,,,+,,118990,,217,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.51,,,img2/jap/14.jpg,,119206,,218,image-keyboard-response,,
12,condition1,D,J,,,,0.0-6.0-3.51,d,322,"Press S if the two images were the same, Press D if the two images were different.",,119528,,219,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.52,,,img2/false/4.jpg,,119737,,220,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.52,,,+,,120049,,221,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.52,,,img2/false/12.jpg,,120267,,222,image-keyboard-response,,
12,condition1,D,M,,,,0.0-6.0-3.52,d,436,"Press S if the two images were the same, Press D if the two images were different.",,120703,,223,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.53,,,img2/false/9.jpg,,120921,,224,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.53,,,+,,121232,,225,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.53,,,img2/false/4.jpg,,121450,,226,image-keyboard-response,,
12,condition1,D,M,,,,0.0-6.0-3.53,d,349,"Press S if the two images were the same, Press D if the two images were different.",,121799,,227,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.54,,,img2/faces/6.jpg,,122012,,228,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.54,,,+,,122326,,229,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.54,,,img2/faces/6.jpg,,122545,,230,image-keyboard-response,,
12,condition1,S,H,,,,0.0-6.0-3.54,s,295,"Press S if the two images were the same, Press D if the two images were different.",,122839,,231,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.55,,,img2/Mtools/7.jpg,,123044,,232,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.55,,,+,,123355,,233,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.55,,,img2/Mtools/10.jpg,,123574,,234,image-keyboard-response,,
12,condition1,D,O,,,,0.0-6.0-3.55,d,305,"Press S if the two images were the same, Press D if the two images were different.",,123879,,235,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.56,,,img2/french/6.jpg,,124087,,236,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.56,,,+,,124398,,237,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.56,,,img2/Mfrench/6.jpg,,124615,,238,image-keyboard-response,,
12,condition1,S,R,,,,0.0-6.0-3.56,d,425,"Press S if the two images were the same, Press D if the two images were different.",,125040,,239,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-0.57,,,img2/tools/11.jpg,,125254,,240,image-keyboard-response,,
12,condition1,,,,,,0.0-6.0-1.57,,,+,,125565,,241,html-keyboard-response,,
12,condition1,,,,,,0.0-6.0-2.57,,,img2/tools/3.jpg,,125782,,242,image-keyboard-response,,
